iter	RMSE
0	8.914213536
1	8.701299886
2	8.529318413
3	8.382363587
4	8.257571379
5	8.153298597
6	8.071332432
7	8.010496881
8	7.954025935
9	7.90393508
10	7.865396374
11	7.83201641
12	7.806410805
13	7.78543365
14	7.769580025
15	7.75464628
16	7.743733628
17	7.735206263
18	7.72672148
19	7.719747868
20	7.713223346
21	7.707901548
22	7.70403509
23	7.699047321
24	7.695055865
25	7.692090262
26	7.690408804
27	7.68777724
28	7.685445565
29	7.682087533
30	7.680812012
31	7.678693726
32	7.677044781
33	7.675881017
34	7.674963484
35	7.674023297
36	7.672893112
37	7.671842366
38	7.671330445
39	7.6705416
40	7.670069688
41	7.669185669
42	7.668781925
43	7.668196026
44	7.66783125
45	7.667747034
46	7.666916138
47	7.665651456
48	7.66503674
49	7.664752555
50	7.66406873
51	7.663702501
52	7.663048644
53	7.662886116
54	7.662120319
55	7.661685782
56	7.661383893
57	7.661064421
58	7.660837513
59	7.660394671
60	7.659976306
61	7.659697697
62	7.659340857
63	7.65900978
64	7.658700607
65	7.658083409
66	7.657987651
67	7.657866263
68	7.657715386
69	7.657448174
70	7.657070659
71	7.656896556
72	7.656827837
73	7.656525399
74	7.656181739
75	7.655817035
76	7.655609653
77	7.655265785
78	7.655025924
79	7.654827329
80	7.654346132
81	7.65384947
82	7.653641662
83	7.653412437
84	7.653176833
85	7.65292642
86	7.652548912
87	7.652414818
88	7.652384772
89	7.65234585
90	7.652069353
91	7.651820859
92	7.651640952
93	7.651463408
94	7.651135862
95	7.650886436
96	7.650718301
97	7.650364726
98	7.650235942
99	7.649884604
