iter	Passed	Remaining
0	2	254
1	5	253
2	7	241
3	8	214
4	10	197
5	12	198
6	14	186
7	16	188
8	19	192
9	41	374
10	51	413
11	52	384
12	53	361
13	55	340
14	56	321
15	58	307
16	61	299
17	64	294
18	66	282
19	67	270
20	69	260
21	70	250
22	72	241
23	73	233
24	75	225
25	76	218
26	78	211
27	80	206
28	81	199
29	83	194
30	84	188
31	85	182
32	87	177
33	88	171
34	89	166
35	90	161
36	91	156
37	92	151
38	94	147
39	95	142
40	96	138
41	97	134
42	98	130
43	99	126
44	100	123
45	101	119
46	102	116
47	104	112
48	105	109
49	106	106
50	107	103
51	108	100
52	109	97
53	110	94
54	111	91
55	112	88
56	113	85
57	114	82
58	115	80
59	116	77
60	117	75
61	118	72
62	119	70
63	120	67
64	121	65
65	122	62
66	123	60
67	123	58
68	124	56
69	125	53
70	126	51
71	127	49
72	128	47
73	129	45
74	130	43
75	131	41
76	133	39
77	134	37
78	135	35
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	25
85	143	23
86	144	21
87	145	19
88	146	18
89	149	16
90	150	14
91	152	13
92	153	11
93	154	9
94	155	8
95	157	6
96	159	4
97	160	3
98	161	1
99	163	0
